"","prior_bioemi","prior_landemi","prior_bioemi_2nd","prior_landemi_2nd","post_bioemi","post_landemi","complementarity_bioemi","complementarity_landemi","treatment_group","treatment_positive_bioemi","treatment_positive_landemi","gap_to_true_value_bioemi","gap_to_true_value_landemi","treatment_positive_bioemi_and_landemi","confidence","coping_on_income","acceptance_alpinePV","acceptance_wind","acceptance_newnucs","acceptance_prolongnucs","trust_in_sci","left_right","gender_binary","education_numeric","urban_rural_numeric","urban_rural_binary","age","climate_salience","speeder","speeder_treatment_bioemi","speeder_treatment_landemi","attention_bioemi_yes","attention_landemi_yes","attention_check_yes"
"11",1,-3,-2,-2,1,2,-1,1,"control","positive_control","positive_control",-2,-3,"positive_control",4,"No",1,1,1,1,NA,5,"female",4,3,"rural",1958,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"12",1,-1,-3,0,1,-1,-1,1,"control","positive_control","positive_control",-3,-1,"positive_control",6,NA,-1,1,-1,1,NA,NA,"female",1,4,"rural",1926,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"13",1,-1,1,-1,0,0,-1,0,"control","negative_control","positive_control",1,-2,"mixed_control",7,"No",2,-1,-1,-2,NA,3,"male",2,3,"rural",1944,"Yes",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"14",-1,2,-2,2,1,-1,-2,2,"treatment","positive_treatment","negative_treatment",-2,1,"mixed_treatment",6,"No",1,1,1,-1,NA,9,"male",2,4,"rural",NA,"Yes",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"15",1,2,0,0,1,2,2,0,"control","positive_control","positive_control",0,-1,"positive_control",2,"No",0,0,0,0,NA,NA,"female",NA,1,"urban",1995,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"16",0,0,0,0,0,0,0,0,"control","positive_control","positive_control",0,-1,"positive_control",10,"No",0,0,0,0,NA,NA,"male",NA,4,"rural",1925,"No",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"17",-2,1,-1,-3,1,2,2,-2,"treatment","positive_treatment","positive_treatment",-1,-4,"positive_treatment",2,"Yes",3,3,2,1,NA,2,"female",4,1,"urban",1926,"No",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"18",2,2,-1,-3,2,3,2,1,"control","positive_control","positive_control",-1,-4,"positive_control",8,"Yes",3,2,3,1,NA,6,"male",4,1,"urban",1998,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"19",-1,-2,-2,-2,1,1,1,1,"control","positive_control","positive_control",-2,-3,"positive_control",8,"Yes",3,3,1,-1,NA,3,"female",4,3,"rural",1991,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"20",0,3,0,0,0,0,0,0,"treatment","positive_treatment","positive_treatment",0,-1,"positive_treatment",6,"Yes",0,0,0,0,NA,NA,NA,2,1,"urban",2005,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"21",0,0,0,0,0,0,0,0,"control","positive_control","positive_control",0,-1,"positive_control",2,"Yes",0,0,0,0,NA,NA,"female",3,1,"urban",2004,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"22",0,0,0,0,0,0,0,0,"treatment","positive_treatment","positive_treatment",0,-1,"positive_treatment",10,"Yes",0,0,0,0,NA,NA,"male",4,1,"urban",1928,"Yes",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"23",0,-1,-1,1,0,-1,2,1,"control","positive_control","negative_control",-1,0,"mixed_control",4,"No",4,0,-2,-4,NA,4,"male",4,2,"urban",1991,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"24",1,3,-3,-2,2,1,3,2,"control","positive_control","positive_control",-3,-3,"positive_control",6,"No",2,4,-2,-4,NA,1,"male",4,1,"urban",1992,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"25",2,4,-1,-3,3,4,2,1,"treatment","positive_treatment","positive_treatment",-1,-4,"positive_treatment",4,"Yes",2,4,0,-4,NA,1,"male",4,1,"urban",1995,"No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"26",-4,0,0,0,0,0,1,1,"treatment","positive_treatment","positive_treatment",0,-1,"positive_treatment",2,"No",0,2,1,3,NA,NA,NA,1,1,"urban",1942,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"27",0,0,0,0,0,0,0,0,"control","positive_control","positive_control",0,-1,"positive_control",5,"Yes",0,0,0,0,NA,6,"male",1,3,"rural",1927,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"28",0,0,0,0,0,0,0,0,"treatment","positive_treatment","positive_treatment",0,-1,"positive_treatment",10,"Yes",0,0,0,0,NA,0,"male",1,1,"urban",1929,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"29",0,0,0,0,0,0,0,0,"treatment","positive_treatment","positive_treatment",0,-1,"positive_treatment",4,NA,0,0,0,0,NA,NA,"male",2,NA,"rural",NA,"Yes",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"30",1,1,1,1,1,1,1,1,"control","negative_control","negative_control",1,0,"negative_control",5,NA,1,1,1,1,NA,4,"male",4,NA,"rural",1991,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"31",0,0,-3,-3,0,0,-2,-2,"treatment","positive_treatment","positive_treatment",-3,-4,"positive_treatment",6,"Yes",3,3,-4,-4,NA,3,"female",4,3,"rural",1984,"Yes",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"32",0,2,-3,-2,0,2,3,4,"control","positive_control","positive_control",-3,-3,"positive_control",8,"No",4,4,-4,-4,NA,0,"female",3,2,"urban",1950,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"33",1,0,0,0,0,0,1,1,"treatment","positive_treatment","positive_treatment",0,-1,"positive_treatment",8,"No",1,1,1,0,NA,5,"female",NA,1,"urban",1991,"Yes",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
"34",4,4,4,4,4,4,4,4,"treatment","negative_treatment","negative_treatment",4,3,"negative_treatment",10,"No",4,4,4,4,NA,2,NA,4,2,"urban",1992,"Yes",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"35",0,0,-2,3,NA,NA,1,-2,"control","positive_control","negative_control",-2,2,"mixed_control",3,"No",4,3,-4,4,NA,NA,NA,3,3,"rural",1945,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"36",1,-1,0,1,2,-1,1,0,"treatment","positive_treatment","negative_treatment",0,0,"mixed_treatment",3,"No",4,4,1,-2,NA,NA,NA,2,2,"urban",1989,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"37",0,0,0,0,0,0,0,0,"treatment","positive_treatment","positive_treatment",0,-1,"positive_treatment",NA,"No",0,0,0,0,NA,NA,"female",1,4,"rural",2005,"Yes",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"38",1,2,2,2,1,1,3,-2,"control","negative_control","negative_control",2,1,"negative_control",6,"No",4,4,1,-2,NA,NA,"female",1,1,"urban",2007,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"39",-2,2,2,-3,0,1,4,4,"treatment","negative_treatment","positive_treatment",2,-4,"mixed_treatment",6,"No",2,4,-4,-4,NA,1,NA,4,1,"urban",1992,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"40",0,4,-2,-3,-4,4,3,-3,"control","positive_control","positive_control",-2,-4,"positive_control",4,"Yes",4,4,-4,-4,NA,NA,NA,2,1,"urban",2007,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"41",-3,2,3,-1,-1,4,2,2,"control","negative_control","positive_control",3,-2,"mixed_control",8,"No",4,4,-4,-4,NA,2,NA,4,3,"rural",2007,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"42",0,0,0,0,0,0,0,0,"treatment","positive_treatment","positive_treatment",0,-1,"positive_treatment",10,"Yes",0,0,0,0,NA,0,"male",1,1,"urban",2007,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"43",0,0,0,0,0,0,0,0,"control","positive_control","positive_control",0,-1,"positive_control",5,"No",0,0,0,0,NA,NA,"female",1,2,"urban",2001,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"44",1,3,-3,-1,1,3,4,2,"control","positive_control","positive_control",-3,-2,"positive_control",6,"No",1,4,0,-4,NA,1,"male",4,1,"urban",1997,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"45",-1,4,1,1,3,3,2,-1,"treatment","negative_treatment","negative_treatment",1,0,"negative_treatment",8,"Yes",4,4,3,4,7,NA,"female",1,4,"rural",1953,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"46",0,1,1,-2,1,1,-2,-2,"control","negative_control","positive_control",1,-3,"mixed_control",6,"No",1,1,1,-4,6,8,"female",3,3,"rural",1986,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"47",0,1,0,1,0,0,0,1,"treatment","positive_treatment","negative_treatment",0,0,"mixed_treatment",5,"Yes",1,1,1,4,6,5,"male",4,4,"rural",1964,"Yes",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"48",3,4,4,1,3,4,0,0,"control","negative_control","negative_control",4,0,"negative_control",8,"No",0,-4,4,4,4,5,"male",3,4,"rural",1964,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"49",0,4,1,4,3,4,1,4,"treatment","negative_treatment","negative_treatment",1,3,"negative_treatment",9,"No",4,4,-4,-4,10,5,"male",1,1,"urban",1968,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"50",0,0,-2,-3,0,0,3,3,"control","positive_control","positive_control",-2,-4,"positive_control",4,"Yes",2,2,-4,-4,8,5,"male",4,3,"rural",1960,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"51",0,3,3,2,2,1,NA,NA,"control","negative_control","negative_control",3,1,"negative_control",8,"No",1,0,0,0,5,3,"male",2,2,"urban",1957,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"52",-1,2,1,1,0,1,1,1,"treatment","negative_treatment","negative_treatment",1,0,"negative_treatment",8,"Yes",-2,1,2,-4,8,6,"male",3,3,"rural",1956,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"53",0,1,1,-1,1,1,1,-1,"control","negative_control","positive_control",1,-2,"mixed_control",8,"Yes",1,1,0,-2,10,3,"male",4,3,"rural",1950,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"54",0,0,0,0,0,0,4,0,"treatment","positive_treatment","positive_treatment",0,-1,"positive_treatment",4,"Yes",3,2,-4,-4,9,1,"male",3,3,"rural",1942,"No",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"55",0,0,0,0,0,0,0,0,"control","positive_control","positive_control",0,-1,"positive_control",6,"No",0,0,-4,-4,9,1,"female",4,4,"rural",1998,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"56",1,1,0,0,3,2,2,1,"treatment","positive_treatment","positive_treatment",0,-1,"positive_treatment",5,"No",3,-4,3,3,2,5,"male",2,2,"urban",1967,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"57",3,3,1,1,3,3,3,3,"control","negative_control","negative_control",1,0,"negative_control",4,"Yes",3,1,-4,-4,10,2,"male",3,4,"rural",1987,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"58",0,0,2,2,0,0,0,0,"treatment","negative_treatment","negative_treatment",2,1,"negative_treatment",8,"Yes",-1,-2,4,3,5,8,"male",4,4,"rural",1964,"Yes",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"59",2,2,0,0,2,2,2,2,"control","positive_control","positive_control",0,-1,"positive_control",8,"Yes",2,2,-1,-2,7,5,"female",3,2,"urban",1969,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"60",0,0,3,3,2,0,0,0,"treatment","negative_treatment","negative_treatment",3,2,"negative_treatment",6,"Yes",1,1,1,-3,5,NA,"female",2,3,"rural",1963,"Yes",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"61",-1,2,-1,1,-2,1,-1,1,"treatment","positive_treatment","negative_treatment",-1,0,"mixed_treatment",6,"No",-1,-2,2,-1,6,10,"male",2,2,"urban",1972,"Yes",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"62",0,2,2,0,1,1,3,-1,"treatment","negative_treatment","positive_treatment",2,-1,"mixed_treatment",5,"No",1,2,-1,-3,9,NA,"male",4,2,"urban",1978,"No",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
"63",0,0,0,0,0,0,0,0,"treatment","positive_treatment","positive_treatment",0,-1,"positive_treatment",6,"No",4,4,4,4,0,0,"female",2,4,"rural",2004,"Yes",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"64",1,2,0,1,3,0,3,1,"treatment","positive_treatment","negative_treatment",0,0,"mixed_treatment",8,"No",1,2,0,-1,7,4,"male",2,4,"rural",1959,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"65",-1,1,1,-1,1,1,1,-1,"treatment","negative_treatment","positive_treatment",1,-2,"mixed_treatment",4,"No",1,1,0,-1,9,NA,"female",2,4,"rural",1998,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"66",0,-2,-2,-2,0,0,0,0,"treatment","positive_treatment","positive_treatment",-2,-3,"positive_treatment",6,"No",1,3,-1,-2,5,2,"female",2,3,"rural",2002,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"67",0,0,2,-1,2,-1,0,0,"control","negative_control","positive_control",2,-2,"mixed_control",4,"Yes",-1,0,0,-1,6,5,"female",2,2,"urban",1963,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"68",-1,0,-1,-1,0,1,1,0,"treatment","positive_treatment","positive_treatment",-1,-2,"positive_treatment",6,"Yes",1,-2,2,1,10,4,"male",4,3,"rural",1982,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"69",1,-1,1,2,0,3,2,1,"control","negative_control","negative_control",1,1,"negative_control",6,"Yes",1,2,-1,-1,7,1,"male",2,3,"rural",2002,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"70",0,0,1,2,0,0,-2,2,"treatment","negative_treatment","negative_treatment",1,1,"negative_treatment",7,"No",1,1,0,-4,7,5,"male",3,2,"urban",1958,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"71",1,-2,2,-1,1,-1,1,-2,"control","negative_control","positive_control",2,-2,"mixed_control",8,"No",2,4,-4,-4,8,2,"male",2,1,"urban",1960,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"72",-2,-2,-2,-1,-4,-4,-2,-3,"treatment","positive_treatment","positive_treatment",-2,-2,"positive_treatment",6,"No",2,-4,1,1,5,6,"female",3,3,"rural",1985,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"73",-2,0,-2,-3,0,0,0,0,"control","positive_control","positive_control",-2,-4,"positive_control",6,"No",1,-1,1,-1,4,4,"female",4,4,"rural",1984,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"74",-4,-4,0,-4,-4,-4,0,-4,"control","positive_control","positive_control",0,-5,"positive_control",10,"Yes",-4,-4,4,4,5,9,"female",4,3,"rural",1983,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"75",-3,-2,1,3,-1,0,0,4,"treatment","negative_treatment","negative_treatment",1,2,"negative_treatment",6,"No",4,1,4,0,7,7,"male",4,4,"rural",1997,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"76",-4,-4,0,0,0,0,0,0,"control","positive_control","positive_control",0,-1,"positive_control",6,"No",-2,-1,4,4,10,5,"male",4,3,"rural",1973,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"77",-1,0,0,-4,0,0,4,4,"treatment","positive_treatment","positive_treatment",0,-5,"positive_treatment",8,"Yes",1,2,0,-2,10,4,"male",2,2,"urban",2001,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"78",-4,-4,4,4,4,4,4,0,"treatment","negative_treatment","negative_treatment",4,3,"negative_treatment",8,"Yes",4,2,3,1,8,7,"male",3,1,"urban",1964,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"79",4,4,-1,-1,1,1,-2,-1,"treatment","positive_treatment","positive_treatment",-1,-2,"positive_treatment",8,"Yes",0,0,-3,-4,5,0,"female",1,4,"rural",1956,"Yes",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"80",0,0,2,-3,0,0,0,0,"treatment","negative_treatment","positive_treatment",2,-4,"mixed_treatment",6,"No",-2,-3,4,4,NA,NA,NA,4,NA,"rural",NA,"Yes",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"81",1,2,1,0,2,2,1,1,"treatment","negative_treatment","positive_treatment",1,-1,"mixed_treatment",8,"No",1,1,4,4,5,5,"male",NA,4,"rural",1952,"Yes",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"82",1,2,-2,-3,1,2,-2,0,"control","positive_control","positive_control",-2,-4,"positive_control",2,"Yes",2,1,-4,-4,9,2,"male",2,1,"urban",1997,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"83",3,2,0,0,2,2,1,1,"treatment","positive_treatment","positive_treatment",0,-1,"positive_treatment",8,"Yes",1,1,-2,-4,8,2,"male",2,3,"rural",1950,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"84",-1,2,1,-1,2,1,2,1,"control","negative_control","positive_control",1,-2,"mixed_control",4,"No",0,1,1,1,9,6,"male",4,4,"rural",1953,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"85",0,0,4,4,0,0,4,4,"control","negative_control","negative_control",4,3,"negative_control",8,"Yes",4,0,0,-4,6,3,"male",2,3,"rural",1956,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"86",1,1,1,1,1,1,0,0,"treatment","negative_treatment","negative_treatment",1,0,"negative_treatment",5,"Yes",1,1,3,3,5,5,"male",NA,4,"rural",1964,"Yes",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"87",-1,1,2,2,1,1,2,0,"treatment","negative_treatment","negative_treatment",2,1,"negative_treatment",6,"No",0,-2,1,0,8,3,"female",NA,2,"urban",2001,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"88",0,0,1,1,1,1,1,1,"treatment","negative_treatment","negative_treatment",1,0,"negative_treatment",6,"No",1,2,-4,-4,8,NA,"female",3,4,"rural",1975,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"89",0,0,0,-4,0,-4,0,0,"control","positive_control","positive_control",0,-5,"positive_control",5,"No",3,2,3,0,4,9,"female",2,4,"rural",1975,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"90",4,4,4,4,2,4,1,4,"treatment","negative_treatment","negative_treatment",4,3,"negative_treatment",10,"No",4,4,-4,-4,NA,NA,"female",2,1,"urban",1961,"Yes",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"91",1,3,3,3,2,2,1,2,"treatment","negative_treatment","negative_treatment",3,2,"negative_treatment",6,"No",0,1,0,0,8,NA,"male",NA,3,"rural",1990,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"92",1,-1,-1,1,1,1,1,-1,"treatment","positive_treatment","negative_treatment",-1,0,"mixed_treatment",6,"No",-4,-1,3,3,4,9,"male",3,4,"rural",1952,"Yes",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"93",0,0,0,-4,0,NA,0,0,"treatment","positive_treatment","positive_treatment",0,-5,"positive_treatment",10,"No",4,4,4,1,10,NA,"female",4,4,"rural",1993,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"94",1,2,-2,-2,-3,-2,2,1,"control","positive_control","positive_control",-2,-3,"positive_control",6,"Yes",4,1,1,0,9,5,"male",2,1,"urban",1969,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"95",-3,-2,-1,-2,-2,-1,1,-1,"control","positive_control","positive_control",-1,-3,"positive_control",6,"Yes",-3,0,-1,1,10,4,"male",4,2,"urban",1974,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"96",-2,2,-2,2,-2,1,-1,-3,"control","positive_control","negative_control",-2,1,"mixed_control",8,"No",-1,1,4,4,10,5,"male",2,4,"rural",2003,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"97",-3,-3,0,-1,-1,0,2,0,"control","positive_control","positive_control",0,-2,"positive_control",4,"Yes",-1,1,-1,4,9,7,"male",4,3,"rural",1978,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"98",0,-2,2,-1,0,0,0,-2,"treatment","negative_treatment","positive_treatment",2,-2,"mixed_treatment",2,"Yes",-1,2,2,1,6,5,"female",3,4,"rural",1950,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"99",-3,-3,2,2,-1,-1,-3,-3,"control","negative_control","negative_control",2,1,"negative_control",8,"No",0,-4,3,1,0,6,"female",2,2,"urban",1998,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"100",-2,-2,-1,1,-1,-1,NA,NA,"treatment","positive_treatment","negative_treatment",-1,0,"mixed_treatment",6,"No",0,0,0,0,5,NA,"male",NA,4,"rural",1977,"Yes",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"101",2,-4,-4,-4,-3,-3,-4,-4,"treatment","positive_treatment","positive_treatment",-4,-5,"positive_treatment",8,"Yes",-3,-4,4,4,8,9,"male",3,4,"rural",1972,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"102",4,4,2,-2,4,4,4,4,"treatment","negative_treatment","positive_treatment",2,-3,"mixed_treatment",9,"No",4,4,-1,-4,9,1,"male",2,1,"urban",1996,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"103",-4,-4,4,-4,-4,-4,0,0,"treatment","negative_treatment","positive_treatment",4,-5,"mixed_treatment",10,"Yes",-4,-4,4,4,2,5,"female",2,3,"rural",1984,"Yes",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"104",3,3,2,2,3,3,-3,-3,"treatment","negative_treatment","negative_treatment",2,1,"negative_treatment",8,"No",2,2,1,0,8,5,"female",2,3,"rural",1980,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"105",-4,4,2,-3,3,-2,-2,-2,"control","negative_control","positive_control",2,-4,"mixed_control",6,"Yes",1,4,4,-4,1,NA,"male",2,4,"rural",1994,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"106",1,1,0,0,-1,1,1,1,"treatment","positive_treatment","positive_treatment",0,-1,"positive_treatment",7,"Yes",-2,-2,2,0,2,8,"male",2,3,"rural",1975,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"107",0,4,0,0,0,0,0,0,"control","positive_control","positive_control",0,-1,"positive_control",8,"No",4,-4,4,4,0,NA,"female",1,2,"urban",1977,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"108",-2,-4,-4,-4,-4,-4,4,4,"control","positive_control","positive_control",-4,-5,"positive_control",4,"No",2,1,2,2,8,8,"female",2,4,"rural",2000,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"109",-1,-2,-1,-1,-2,-2,-1,1,"control","positive_control","positive_control",-1,-2,"positive_control",8,"Yes",1,0,2,0,10,7,"male",4,3,"rural",1979,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"110",0,0,0,0,0,0,0,0,"control","positive_control","positive_control",0,-1,"positive_control",6,"No",4,4,-4,-4,10,5,"male",2,4,"rural",1950,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"111",3,3,0,0,3,3,3,3,"control","positive_control","positive_control",0,-1,"positive_control",4,"Yes",4,4,3,1,6,7,"male",4,3,"rural",1957,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"112",0,-2,1,2,0,0,1,1,"treatment","negative_treatment","negative_treatment",1,1,"negative_treatment",4,"Yes",2,1,-1,-3,7,5,"female",3,4,"rural",1985,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"113",1,4,4,4,1,2,2,4,"treatment","negative_treatment","negative_treatment",4,3,"negative_treatment",6,"Yes",4,1,-2,-2,NA,NA,"male",NA,4,"rural",1969,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
